,State,FIPS,County [2],County Seat,population,total area km,total area mi,Latitude,Longitude
54,AL,1107,Pickens,Carrollton,"19,746","2,305.42",890.125,+33.296809°,–88.096878°
55,AL,1109,Pike,Troy,"32,899","1,743.08",673.006,+31.798726°,–85.941997°
56,AL,1111,Randolph,Wedowee,"22,913","1,512.90",584.135,+33.296475°,–85.464068°
57,AL,1113,Russell,Phenix City,"52,947","1,676.22",647.192,+32.289811°,–85.186980°
58,AL,1115,St. Clair,"Ashville, Pell City","83,593","1,692.92",653.64,+33.712963°,–86.315663°
59,AL,1117,Shelby,Columbiana,"195,085","2,096.66",809.525,+33.262937°,–86.678104°
60,AL,1119,Sumter,Livingston,"13,763","2,365.49",913.322,+32.597481°,–88.200057°
61,AL,1121,Talladega,Talladega,"82,291","1,969.18",760.306,+33.369277°,–86.175805°
62,AL,1123,Tallapoosa,Dadeville,"41,616","1,984.59",766.254,+32.863369°,–85.799553°
63,AL,1125,Tuscaloosa,Tuscaloosa,"194,656","3,499.73","1,351.25",+33.290202°,–87.522860°
64,AL,1127,Walker,Jasper,"67,023","2,085.44",805.194,+33.791571°,–87.301092°
65,AL,1129,Washington,Chatom,"17,581","2,819.37","1,088.57",+31.406974°,–88.202078°
66,AL,1131,Wilcox,Camden,"11,670","2,350.19",907.411,+31.990330°,–87.302205°
67,AL,1133,Winston,Double Springs,"24,484","1,636.53",631.868,+34.155888°,–87.364147°
68,AK,2013,Aleutians East,Sand Point,"3,141","38,875.36","15,009.86",+55.243722°,–161.950749°
69,AK,2016,Aleutians West[4],—,"5,561","36,561.41","14,116.44",+51.959447°,–181.6612°
70,AK,2020,Anchorage,Anchorage,"291,826","5,078.97","1,961.00",+61.177549°,–149.274354°
71,AK,2050,Bethel [4],—,"17,013","117,855.35","45,504.21",+60.928916°,–160.153350°
72,AK,2060,Bristol Bay,Naknek,997,"2,298.78",887.563,+58.731373°,–156.986612°
73,AK,2068,Denali,Healy,"1,826","33,092.07","12,776.92",+63.682732°,–150.026719°
74,AK,2070,Dillingham [4],—,"4,847","54,170.14","20,915.21",+59.824816°,–158.602233°
75,AK,2090,Fairbanks North Star,Fairbanks,"97,581","19,279.06","7,443.69",+64.690832°,–146.599867°
76,AK,2100,Haines,Haines,"2,508","7,059.02","2,725.50",+59.099905°,–135.578102°
77,AK,2105,Hoonah-Angoon [4],—,"2,150","28,267.52","10,914.15",+58.076434°,–135.185100°
78,AK,2110,Juneau,Juneau,"31,275","8,427.54","3,253.89",+58.372700°,–134.178781°
79,AK,2122,Kenai Peninsula,Soldotna,"55,400","64,108.21","24,752.32",+60.366373°,–152.321973°
80,AK,2130,Ketchikan Gateway,Ketchikan,"13,477","17,232.65","6,653.56",+55.449938°,–131.106685°
81,AK,2150,Kodiak Island,Kodiak,"13,592","31,136.39","12,021.83",+57.553611°,–153.630911°
82,AK,2164,Lake and Peninsula,King Salmon [5],"1,631","85,268.88","32,922.50",+58.205065°,–156.705188°
83,AK,2170,Matanuska-Susitna,Palmer,"88,995","65,416.90","25,257.61",+62.182174°,–149.407974°
84,AK,2180,Nome [4],—,"9,492","73,238.70","28,277.62",+64.783686°,–164.188912°
85,AK,2185,North Slope,Barrow,"9,430","245,521.23","94,796.28",+69.449343°,–153.472830°
86,AK,2188,Northwest Arctic,Kotzebue,"7,523","105,539.25","40,748.94",+67.005066°,–160.021086°
87,AK,2195,Petersburg [4],—,"3,815","14,721.66","5,684.07",+56.639612°,–133.527996°
88,AK,2198,Prince of Wales-Hyder [4],—,"5,559","19,899.61","7,683.28",+55.415683°,–132.875734°
89,AK,2220,Sitka,Sitka,"8,881","12,461.55","4,811.43",+57.142509°,–135.332624°
90,AK,2230,Skagway,Skagway,968,"1,201.85",464.036,+59.575097°,–135.335418°
91,AK,2240,Southeast Fairbanks [4],—,"7,029","64,903.71","25,059.46",+63.864997°,–143.218628°
92,AK,2261,Valdez-Cordova[4],—,"9,636","104,480.57","40,340.18",+61.349840°,–145.023141°
93,AK,2270,Wade Hampton[4],—,"7,459","50,952.71","19,672.95",+62.283174°,–163.190950°
94,AK,2275,Wrangell,Wrangell,"2,369","8,966.69","3,462.06",+56.279121°,–132.040326°
95,AK,2282,Yakutat,Yakutat,662,"24,508.71","9,462.87",+59.999083°,–140.239593°
96,AK,2290,Yukon-Koyukuk[4],—,"5,588","382,812.22","147,804.63",+65.376131°,–151.576855°
97,AZ,4001,Apache,St. Johns,"71,518","29,055.62","11,218.44",+35.385845°,–109.493747°
98,AZ,4003,Cochise,Bisbee,"131,346","16,106.09","6,218.60",+31.881793°,–109.754120°
99,AZ,4005,Coconino,Flagstaff,"134,421","48,332.65","18,661.34",+35.829692°,–111.773728°
100,AZ,4007,Gila,Globe,"53,597","12,420.10","4,795.43",+33.789618°,–110.811870°
101,AZ,4009,Graham,Safford,"37,220","12,020.31","4,641.07",+32.931828°,–109.878310°
102,AZ,4011,Greenlee,Clifton,"8,437","4,787.42","1,848.43",+33.238872°,–109.242323°
103,AZ,4012,La Paz,Parker,"20,489","11,690.57","4,513.75",+33.727625°,–114.038793°
104,AZ,4013,Maricopa,Phoenix,"3,817,117","23,891.06","9,224.39",+33.346541°,–112.495534°
105,AZ,4015,Mohave,Kingman,"200,186","34,862.92","13,460.65",+35.717705°,–113.749689°
106,AZ,4017,Navajo,Holbrook,"107,449","25,795.55","9,959.72",+35.390934°,–110.320908°
107,AZ,4019,Pima,Tucson,"980,263","23,799.65","9,189.10",+32.128237°,–111.783018°
108,AZ,4021,Pinal,Florence,"375,770","13,919.20","5,374.23",+32.918910°,–111.367257°
109,AZ,4023,Santa Cruz,Nogales,"47,420","3,206.69","1,238.11",+31.525904°,–110.845190°
110,AZ,4025,Yavapai,Prescott,"211,033","21,051.27","8,127.94",+34.630044°,–112.573745°
111,AZ,4027,Yuma,Yuma,"195,751","14,294.43","5,519.11",+32.773942°,–113.910905°
112,AR,5001,Arkansas,"De Witt, Stuttgart","19,019","2,677.40","1,033.75",+34.289574°,–91.376547°
113,AR,5003,Ashley,Hamburg,"21,853","2,435.95",940.527,+33.190835°,–91.772267°
114,AR,5005,Baxter,Mountain Home,"41,513","1,519.59",586.715,+36.280710°,–92.330438°
115,AR,5007,Benton,Bentonville,"221,339","2,289.31",883.906,+36.337825°,–94.256187°
116,AR,5009,Boone,Harrison,"36,903","1,558.74",601.831,+36.304308°,–93.079204°
117,AR,5011,Bradley,Warren,"11,508","1,691.05",652.917,+33.463819°,–92.168164°
118,AR,5013,Calhoun,Hampton,"5,368","1,637.94",632.414,+33.560460°,–92.513879°
119,AR,5015,Carroll,"Berryville, Eureka Springs","27,446","1,654.48",638.8,+36.337774°,–93.541663°
120,AR,5017,Chicot,Lake Village,"11,800","1,789.13",690.787,+33.267139°,–91.297158°
121,AR,5019,Clark,Arkadelphia,"22,995","2,286.52",882.829,+34.053312°,–93.176205°
122,AR,5021,Clay,"Piggott, Corning","16,083","1,661.31",641.436,+36.367302°,–90.418704°
123,AR,5023,Cleburne,Heber Springs,"25,970","1,533.07",591.922,+35.566288°,–92.059974°
124,AR,5025,Cleveland,Rison,"8,689","1,550.75",598.748,+33.893201°,–92.188714°
125,AR,5027,Columbia,Magnolia,"24,552","1,985.88",766.753,+33.215070°,–93.226901°
126,AR,5029,Conway,Morrilton,"21,273","1,467.66",566.668,+35.265702°,–92.689248°
127,AR,5031,Craighead,"Lake City, Jonesboro","96,443","1,845.82",712.674,+35.828268°,–90.630411°
128,AR,5033,Crawford,Van Buren,"61,948","1,564.98",604.242,+35.583041°,–94.236224°
129,AR,5035,Crittenden,Marion,"50,902","1,648.21",636.377,+35.211878°,–90.315331°
130,AR,5037,Cross,Wynne,"17,870","1,611.77",622.307,+35.291259°,–90.773894°
131,AR,5039,Dallas,Fordyce,"8,116","1,730.39",668.106,+33.967823°,–92.653999°
132,AR,5041,Desha,Arkansas City,"13,008","2,122.56",819.526,+33.828748°,–91.244427°
133,AR,5043,Drew,Monticello,"18,509","2,164.35",835.661,+33.587242°,–91.722778°
134,AR,5045,Faulkner,Conway,"113,237","1,719.94",664.072,+35.146356°,–92.324654°
135,AR,5047,Franklin,"Charleston, Ozark","18,125","1,604.87",619.642,+35.508573°,–93.887672°
136,AR,5049,Fulton,Salem,"12,245","1,606.64",620.328,+36.383443°,–91.819239°
137,AR,5051,Garland,Hot Springs,"96,024","1,902.66",734.621,+34.578861°,–93.146915°
138,AR,5053,Grant,Sheridan,"17,853","1,639.28",632.93,+34.288063°,–92.423984°
139,AR,5055,Greene,Paragould,"42,090","1,501.06",579.563,+36.119922°,–90.565241°
140,AR,5057,Hempstead,Hope,"22,609","1,919.64",741.177,+33.728611°,–93.665809°
141,AR,5059,Hot Spring,Malvern,"32,923","1,611.42",622.172,+34.315177°,–92.944147°
142,AR,5061,Howard,Nashville,"13,789","1,541.86",595.314,+34.083179°,–93.990988°
143,AR,5063,Independence,Batesville,"36,647","1,998.22",771.518,+35.737499°,–91.559942°
144,AR,5065,Izard,Melbourne,"13,696","1,512.60",584.018,+36.094879°,–91.913625°
145,AR,5067,Jackson,Newport,"17,997","1,661.48",641.501,+35.596605°,–91.223178°
146,AR,5069,Jefferson,Pine Bluff,"77,435","2,366.67",913.776,+34.277696°,–91.930701°
147,AR,5071,Johnson,Clarksville,"25,540","1,768.30",682.744,+35.573359°,–93.466322°
148,AR,5073,Lafayette,Lewisville,"7,645","1,411.75",545.079,+33.240660°,–93.611643°
149,AR,5075,Lawrence,Walnut Ridge,"17,415","1,534.16",592.342,+36.041098°,–91.101153°
150,AR,5077,Lee,Marianna,"10,424","1,604.50",619.502,+34.779750°,–90.779288°
151,AR,5079,Lincoln,Star City,"14,134","1,481.95",572.185,+33.957665°,–91.727624°
152,AR,5081,Little River,Ashdown,"13,171","1,462.74",564.766,+33.699497°,–94.229774°
153,AR,5083,Logan,"Booneville, Paris","22,353","1,894.73",731.56,+35.218550°,–93.720563°
154,AR,5085,Lonoke,Lonoke,"68,356","2,079.35",802.84,+34.755114°,–91.894132°
155,AR,5087,Madison,Huntsville,"15,717","2,168.03",837.08,+36.012545°,–93.724053°
156,AR,5089,Marion,Yellville,"16,653","1,658.42",640.32,+36.266656°,–92.678588°
157,AR,5091,Miller,Texarkana,"43,462","1,651.50",637.649,+33.305505°,–93.901509°
158,AR,5093,Mississippi,"Blytheville, Osceola","46,480","2,382.30",919.812,+35.766943°,–90.052209°
159,AR,5095,Monroe,Clarendon,"8,149","1,609.15",621.298,+34.679513°,–91.203314°
160,AR,5097,Montgomery,Mount Ida,"9,487","2,072.74",800.289,+34.545652°,–93.664147°
161,AR,5099,Nevada,Prescott,"8,997","1,607.45",620.639,+33.666699°,–93.305072°
162,AR,5101,Newton,Jasper,"8,330","2,132.04",823.186,+35.910063°,–93.215084°
163,AR,5103,Ouachita,Camden,"26,120","1,915.95",739.752,+33.591158°,–92.878418°
164,AR,5105,Perry,Perryville,"10,445","1,451.78",560.533,+34.946363°,–92.926877°
165,AR,5107,Phillips,Helena-West Helena,"21,757","1,883.81",727.345,+34.425842°,–90.848386°
166,AR,5109,Pike,Murfreesboro,"11,291","1,590.59",614.13,+34.158191°,–93.658659°
167,AR,5111,Poinsett,Harrisburg,"24,583","1,977.74",763.61,+35.568981°,–90.680595°
168,AR,5113,Polk,Mena,"20,662","2,233.77",862.462,+34.490915°,–94.230884°
169,AR,5115,Pope,Russellville,"61,754","2,151.70",830.775,+35.455297°,–93.031535°
170,AR,5117,Prairie,"Des Arc, De Valls Bluff","8,715","1,749.83",675.614,+34.828225°,–91.557200°
171,AR,5119,Pulaski,Little Rock,"382,748","2,091.84",807.663,+34.773988°,–92.316515°
172,AR,5121,Randolph,Pocahontas,"17,969","1,699.13",656.04,+36.341299°,–91.028441°
173,AR,5123,St. Francis,Forrest City,"28,258","1,664.10",642.512,+35.014438°,–90.742199°
174,AR,5125,Saline,Benton,"107,118","1,891.96",730.49,+34.648525°,–92.674463°
175,AR,5127,Scott,Waldron,"11,233","2,326.00",898.073,+34.858869°,–94.063641°
176,AR,5129,Searcy,Marshall,"8,195","1,731.43",668.511,+35.909660°,–92.699351°
177,AR,5131,Sebastian,"Greenwood, Fort Smith","125,744","1,414.55",546.16,+35.196981°,–94.274989°
178,AR,5133,Sevier,De Queen,"17,058","1,505.50",581.277,+33.994608°,–94.243290°
179,AR,5135,Sharp,Ash Flat,"17,264","1,570.66",606.436,+36.173399°,–91.471069°
180,AR,5137,Stone,Mountain View,"12,394","1,578.42",609.432,+35.856989°,–92.140494°
181,AR,5139,Union,El Dorado,"41,639","2,732.95","1,055.20",+33.168219°,–92.598145°
182,AR,5141,Van Buren,Clinton,"17,295","1,875.89",724.284,+35.582959°,–92.515977°
183,AR,5143,Washington,Fayetteville,"203,065","2,466.73",952.409,+35.971209°,–94.218417°
184,AR,5145,White,Searcy,"77,076","2,699.14","1,042.15",+35.254722°,–91.753158°
185,AR,5147,Woodruff,Augusta,"7,260","1,538.49",594.014,+35.189071°,–91.244418°
186,AR,5149,Yell,"Dardanelle, Danville","22,185","2,457.53",948.857,+34.997713°,–93.408303°
187,CA,6001,Alameda,Oakland,"1,510,271","2,127.23",821.328,+37.648081°,–121.913304°
188,CA,6003,Alpine,Markleeville,"1,175","1,924.83",743.18,+38.617610°,–119.798999°
189,CA,6005,Amador,Jackson,"38,091","1,569.42",605.956,+38.443550°,–120.653856°
190,CA,6007,Butte,Oroville,"220,000","4,343.75","1,677.13",+39.665959°,–121.601919°
191,CA,6009,Calaveras,San Andreas,"45,578","2,685.63","1,036.93",+38.187844°,–120.555115°
192,CA,6011,Colusa,Colusa,"21,419","2,994.96","1,156.36",+39.177739°,–122.237563°
193,CA,6013,Contra Costa,Martinez,"1,049,025","2,081.75",803.77,+37.919479°,–121.951543°
194,CA,6015,Del Norte,Crescent City,"28,610","3,185.02","1,229.74",+41.749903°,–123.980998°
195,CA,6017,El Dorado,Placerville,"181,058","4,626.64","1,786.36",+38.785532°,–120.534398°
196,CA,6019,Fresno,Fresno,"930,450","15,568.94","6,011.20",+36.761006°,–119.655019°
197,CA,6021,Glenn,Willows,"28,122","3,436.86","1,326.98",+39.602546°,–122.401700°
198,CA,6023,Humboldt,Eureka,"134,623","10,495.30","4,052.26",+40.706673°,–123.925818°
199,CA,6025,Imperial,El Centro,"174,528","11,607.60","4,481.72",+33.040816°,–115.355395°
200,CA,6027,Inyo,Independence,"18,546","26,487.56","10,226.91",+36.561977°,–117.403927°
201,CA,6029,Kern,Bakersfield,"839,631","21,141.14","8,162.64",+35.346629°,–118.729506°
202,CA,6031,Kings,Hanford,"152,982","3,604.05","1,391.53",+36.072478°,–119.815530°
203,CA,6033,Lake,Lakeport,"64,665","3,443.19","1,329.42",+39.094802°,–122.746757°
204,CA,6035,Lassen,Susanville,"34,895","12,225.05","4,720.12",+40.721089°,–120.629931°
205,CA,6037,Los Angeles,Los Angeles,"9,818,605","12,304.88","4,750.94",+34.196398°,–118.261862°
206,CA,6039,Madera,Madera,"150,865","5,576.94","2,153.27",+37.210039°,–119.749852°
207,CA,6041,Marin,San Rafael,"252,409","2,145.01",828.192,+38.051817°,–122.745974°
208,CA,6043,Mariposa,Mariposa,"18,251","3,788.69","1,462.82",+37.570034°,–119.912860°
209,CA,6045,Mendocino,Ukiah,"87,841","10,044.34","3,878.14",+39.432388°,–123.442881°
210,CA,6047,Merced,Merced,"255,793","5,124.32","1,978.51",+37.194806°,–120.722802°
211,CA,6049,Modoc,Alturas,"9,686","10,886.75","4,203.40",+41.592919°,–120.718370°
212,CA,6051,Mono,Bridgeport,"14,202","8,111.52","3,131.88",+37.915836°,–118.875167°
213,CA,6053,Monterey,Salinas,"415,057","9,767.42","3,771.22",+36.240107°,–121.315573°
214,CA,6055,Napa,Napa,"136,484","2,042.42",788.582,+38.507351°,–122.325995°
215,CA,6057,Nevada,Nevada City,"98,764","2,522.13",973.801,+39.295191°,–120.773446°
216,CA,6059,Orange,Santa Ana,"3,010,232","2,455.48",948.066,+33.675687°,–117.777207°
217,CA,6061,Placer,Auburn,"348,432","3,891.34","1,502.46",+39.062032°,–120.722718°
218,CA,6063,Plumas,Quincy,"20,007","6,768.75","2,613.43",+39.995170°,–120.829516°
219,CA,6065,Riverside,Riverside,"2,189,641","18,915.77","7,303.42",+33.729828°,–116.002239°
220,CA,6067,Sacramento,Sacramento,"1,418,788","2,574.49",994.018,+38.450011°,–121.340441°
221,CA,6069,San Benito,Hollister,"55,269","3,601.30","1,390.47",+36.610702°,–121.085296°
222,CA,6071,San Bernardino,San Bernardino,"2,035,210","52,071.26","20,104.83",+34.857220°,–116.181197°
223,CA,6073,San Diego,San Diego,"3,095,313","11,721.47","4,525.69",+33.023604°,–116.776117°
224,CA,6075,San Francisco,San Francisco,"805,235",600.59,231.889,+37.727239°,–123.032229°
225,CA,6077,San Joaquin,Stockton,"685,306","3,694.62","1,426.50",+37.935034°,–121.272237°
226,CA,6079,San Luis Obispo,San Luis Obispo,"269,637","9,364.22","3,615.55",+35.385227°,–120.447540°
227,CA,6081,San Mateo,Redwood City,"718,451","1,919.08",740.959,+37.414664°,–122.371542°
228,CA,6083,Santa Barbara,Santa Barbara,"423,895","9,813.67","3,789.08",+34.537378°,–120.038485°
229,CA,6085,Santa Clara,San Jose,"1,781,642","3,377.52","1,304.07",+37.220777°,–121.690622°
230,CA,6087,Santa Cruz,Santa Cruz,"262,382","1,572.56",607.166,+37.012488°,–122.007205°
231,CA,6089,Shasta,Redding,"177,223","9,964.78","3,847.42",+40.760522°,–122.043550°
232,CA,6091,Sierra,Downieville,"3,240","2,492.11",962.21,+39.576925°,–120.521993°
233,CA,6093,Siskiyou,Yreka,"44,900","16,439.54","6,347.34",+41.587986°,–122.533287°
234,CA,6095,Solano,Fairfield,"413,344","2,347.03",906.192,+38.267226°,–121.939594°
235,CA,6097,Sonoma,Santa Rosa,"483,878","4,578.96","1,767.95",+38.532574°,–122.945194°
236,CA,6099,Stanislaus,Modesto,"514,453","3,923.02","1,514.69",+37.562384°,–121.002656°
237,CA,6101,Sutter,Yuba City,"94,737","1,575.98",608.49,+39.035257°,–121.702758°
238,CA,6103,Tehama,Red Bluff,"63,463","7,671.99","2,962.17",+40.126156°,–122.232276°
239,CA,6105,Trinity,Weaverville,"13,786","8,307.64","3,207.60",+40.647724°,–123.114404°
240,CA,6107,Tulare,Visalia,"442,179","12,532.05","4,838.65",+36.230453°,–118.780542°
241,CA,6109,Tuolumne,Sonora,"55,365","5,890.75","2,274.43",+38.021451°,–119.964708°
242,CA,6111,Ventura,Ventura,"823,318","5,719.68","2,208.38",+34.358742°,–119.133143°
243,CA,6113,Yolo,Woodland,"200,849","2,651.00","1,023.56",+38.679268°,–121.903178°
244,CA,6115,Yuba,Marysville,"72,155","1,667.45",643.808,+39.270026°,–121.344280°
245,CO,8001,Adams,Brighton,"441,603","3,066.28","1,183.90",+39.874325°,–104.331872°
246,CO,8003,Alamosa,Alamosa,"15,445","1,873.45",723.341,+37.568442°,–105.788041°
247,CO,8005,Arapahoe,Littleton,"572,003","2,086.07",805.437,+39.644632°,–104.331733°
248,CO,8007,Archuleta,Pagosa Springs,"12,084","3,510.77","1,355.51",+37.202395°,–107.050863°
249,CO,8009,Baca,Springfield,"3,788","6,623.48","2,557.34",+37.303144°,–102.535457°
250,CO,8011,Bent,Las Animas,"6,499","3,991.39","1,541.08",+37.931891°,–103.077584°
251,CO,8013,Boulder,Boulder,"294,567","1,917.55",740.37,+40.094826°,–105.398382°
252,CO,8014,Broomfield,Broomfield,"55,889",87.024,33.6,+39.953383°,–105.052125°
253,CO,8015,Chaffee,Salida,"17,809","2,628.72","1,014.95",+38.738246°,–106.316972°
254,CO,8017,Cheyenne,Cheyenne Wells,"1,836","4,613.88","1,781.43",+38.835387°,–102.604585°
255,CO,8019,Clear Creek,Georgetown,"9,088","1,026.91",396.493,+39.689403°,–105.670791°
256,CO,8021,Conejos,Conejos,"8,256","3,343.56","1,290.96",+37.213407°,–106.176447°
257,CO,8023,Costilla,San Luis,"3,524","3,186.62","1,230.36",+37.277547°,–105.428940°
258,CO,8025,Crowley,Ordway,"5,823","2,072.84",800.329,+38.321956°,–103.787562°
259,CO,8027,Custer,Westcliffe,"4,255","1,916.40",739.924,+38.101994°,–105.373515°
260,CO,8029,Delta,Delta,"30,952","2,974.86","1,148.60",+38.861756°,–107.864757°
261,CO,8031,Denver,Denver,"600,158",400.494,154.631,+39.761849°,–104.880625°
262,CO,8033,Dolores,Dove Creek,"2,064","2,766.37","1,068.10",+37.747602°,–108.530383°
263,CO,8035,Douglas,Castle Rock,"285,465","2,183.02",842.869,+39.326435°,–104.926199°
264,CO,8037,Eagle,Eagle,"52,197","4,381.72","1,691.79",+39.630638°,–106.692944°
265,CO,8039,Elbert,Colorado Springs,"23,086","4,794.11","1,851.02",+39.310817°,–104.117928°
266,CO,8041,El Paso,Kiowa,"622,263","5,515.50","2,129.55",+38.827383°,–104.527472°
267,CO,8043,Fremont,Cañon City,"46,824","3,972.86","1,533.93",+38.455658°,–105.421438°
268,CO,8045,Garfield,Glenwood Springs,"56,389","7,655.58","2,955.84",+39.599352°,–107.909780°
269,CO,8047,Gilpin,Central City,"5,441",389.171,150.26,+39.861082°,–105.528947°
270,CO,8049,Grand,Hot Sulphur Springs,"14,843","4,842.22","1,869.59",+40.123289°,–106.095876°
271,CO,8051,Gunnison,Gunnison,"15,324","8,442.40","3,259.63",+38.669679°,–107.078108°
272,CO,8053,Hinsdale,Lake City,843,"2,908.99","1,123.17",+37.811625°,–107.383405°
273,CO,8055,Huerfano,Walsenburg,"6,711","4,126.47","1,593.24",+37.687815°,–104.959928°
274,CO,8057,Jackson,Walden,"1,394","4,198.27","1,620.96",+40.663432°,–106.329248°
275,CO,8059,Jefferson,Golden,"534,543","2,004.74",774.033,+39.586460°,–105.245601°
276,CO,8061,Kiowa,Eads,"1,398","4,625.53","1,785.93",+38.388466°,–102.756210°
277,CO,8063,Kit Carson,Burlington,"8,270","5,598.75","2,161.69",+39.305340°,–102.603023°
278,CO,8065,Lake,Durango,"7,310",994.319,383.909,+39.204316°,–106.349696°
279,CO,8067,La Plata,Leadville,"51,334","4,402.22","1,699.71",+37.287367°,–107.839718°
280,CO,8069,Larimer,Fort Collins,"299,630","6,821.91","2,633.95",+40.663091°,–105.482131°
281,CO,8071,Las Animas,Trinidad,"15,507","12,368.09","4,775.35",+37.318831°,–104.044110°
282,CO,8073,Lincoln,Hugo,"5,467","6,698.80","2,586.42",+38.993740°,–103.507555°
283,CO,8075,Logan,Sterling,"22,709","4,778.18","1,844.87",+40.728091°,–103.090464°
